设备：cuda
★BC 锚开启：w=0.1  只锚 turn ≤ 70  权重来自 rl/runs/bc_candx100_gpu/ep400.pt（缺失 0 项）
续训自 rl/runs/bc_candx100_gpu/ep400.pt（第 0 块）
★地图池：802 张（难度已筛）  从第 0 张接着数
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=36 | env_steps=280690 | secs=7430.100 | episodes=144 | last_spend=8177.696 | mean_spend=6992.976 | last_tiles=23.000 | last_armies=3.000 | pg=0.013 | vf=330.962 | ent=2.735 | kl=0.024 | clipfrac=0.221 | n=272 | bc_kl=0.228 | adv_mean=-12.898 | adv_std=13.035
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=37 | env_steps=292231 | secs=7737.600 | episodes=148 | last_spend=13983.492 | mean_spend=9137.343 | last_tiles=33.000 | last_armies=11.000 | pg=0.013 | vf=73.415 | ent=3.342 | kl=0.034 | clipfrac=0.245 | n=361 | bc_kl=0.205 | adv_mean=-3.886 | adv_std=7.781
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=38 | env_steps=299449 | secs=7908.800 | episodes=152 | last_spend=5028.269 | mean_spend=6480.311 | last_tiles=5.000 | last_armies=0.000 | pg=0.018 | vf=284.973 | ent=2.791 | kl=0.025 | clipfrac=0.261 | n=226 | bc_kl=0.209 | adv_mean=-14.047 | adv_std=9.645
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=39 | env_steps=309045 | secs=8137.100 | episodes=156 | last_spend=7911.757 | mean_spend=8928.009 | last_tiles=24.000 | last_armies=4.000 | pg=0.004 | vf=317.655 | ent=2.733 | kl=0.010 | clipfrac=0.104 | n=300 | bc_kl=0.200 | adv_mean=-7.965 | adv_std=16.078
eval_spend=10364.072 | eval_tiles=13.000 | eval_armies=0.000 | eval_s_spend=15516.639 | eval_s_tiles=35.500 | iter=40 | env_steps=316375 | secs=8303.600 | episodes=160 | last_spend=6473.275 | mean_spend=6537.025 | last_tiles=14.000 | last_armies=0.000 | pg=0.008 | vf=216.626 | ent=2.524 | kl=0.010 | clipfrac=0.161 | n=230 | bc_kl=0.264 | adv_mean=-9.268 | adv_std=11.551
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=41 | env_steps=326527 | secs=8818.400 | episodes=164 | last_spend=9026.687 | mean_spend=9278.849 | last_tiles=22.000 | last_armies=5.000 | pg=0.012 | vf=234.291 | ent=3.006 | kl=0.021 | clipfrac=0.200 | n=318 | bc_kl=0.207 | adv_mean=-6.305 | adv_std=14.091
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=42 | env_steps=334339 | secs=9000.000 | episodes=168 | last_spend=6898.485 | mean_spend=7426.717 | last_tiles=23.000 | last_armies=0.000 | pg=0.005 | vf=155.206 | ent=2.599 | kl=0.011 | clipfrac=0.131 | n=245 | bc_kl=0.182 | adv_mean=-6.879 | adv_std=10.564
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=43 | env_steps=345300 | secs=9263.500 | episodes=172 | last_spend=6603.655 | mean_spend=7415.903 | last_tiles=21.000 | last_armies=2.000 | pg=0.011 | vf=357.077 | ent=3.239 | kl=0.015 | clipfrac=0.189 | n=343 | bc_kl=0.292 | adv_mean=-6.330 | adv_std=17.952
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=44 | env_steps=355701 | secs=9507.900 | episodes=176 | last_spend=12234.365 | mean_spend=10906.904 | last_tiles=32.000 | last_armies=8.000 | pg=0.007 | vf=887.231 | ent=3.098 | kl=0.013 | clipfrac=0.179 | n=326 | bc_kl=0.168 | adv_mean=-3.358 | adv_std=29.741
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=45 | env_steps=364138 | secs=9733.800 | episodes=180 | last_spend=9551.649 | mean_spend=10691.427 | last_tiles=25.000 | last_armies=4.000 | pg=0.010 | vf=155.442 | ent=2.575 | kl=0.011 | clipfrac=0.146 | n=264 | bc_kl=0.212 | adv_mean=10.236 | adv_std=7.399
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=46 | env_steps=372381 | secs=9933.500 | episodes=184 | last_spend=15314.989 | mean_spend=10159.356 | last_tiles=38.000 | last_armies=10.000 | pg=0.007 | vf=1014.949 | ent=2.509 | kl=0.015 | clipfrac=0.161 | n=258 | bc_kl=0.215 | adv_mean=17.063 | adv_std=27.070
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=47 | env_steps=380925 | secs=10144.000 | episodes=188 | last_spend=9248.593 | mean_spend=9524.691 | last_tiles=23.000 | last_armies=3.000 | pg=0.006 | vf=78.644 | ent=2.493 | kl=0.009 | clipfrac=0.102 | n=267 | bc_kl=0.183 | adv_mean=2.365 | adv_std=8.705
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=48 | env_steps=388934 | secs=10360.000 | episodes=192 | last_spend=7998.295 | mean_spend=9151.348 | last_tiles=26.000 | last_armies=5.000 | pg=0.003 | vf=246.795 | ent=2.359 | kl=0.006 | clipfrac=0.088 | n=251 | bc_kl=0.208 | adv_mean=7.005 | adv_std=14.219
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=49 | env_steps=398839 | secs=10593.300 | episodes=196 | last_spend=7555.043 | mean_spend=8397.180 | last_tiles=13.000 | last_armies=0.000 | pg=0.008 | vf=435.897 | ent=2.758 | kl=0.019 | clipfrac=0.159 | n=310 | bc_kl=0.188 | adv_mean=-13.044 | adv_std=16.482
eval_spend=14540.789 | eval_tiles=20.500 | eval_armies=5.000 | eval_s_spend=14739.972 | eval_s_tiles=30.500 | iter=50 | env_steps=406057 | secs=10764.100 | episodes=200 | last_spend=6727.094 | mean_spend=8109.837 | last_tiles=5.000 | last_armies=0.000 | pg=0.006 | vf=54.425 | ent=2.081 | kl=0.008 | clipfrac=0.088 | n=226 | bc_kl=0.189 | adv_mean=0.214 | adv_std=7.512
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=51 | env_steps=413444 | secs=11117.300 | episodes=204 | last_spend=7074.877 | mean_spend=7399.217 | last_tiles=21.000 | last_armies=3.000 | pg=0.006 | vf=183.254 | ent=2.175 | kl=0.010 | clipfrac=0.105 | n=231 | bc_kl=0.197 | adv_mean=-9.076 | adv_std=10.264
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=52 | env_steps=421556 | secs=11312.100 | episodes=208 | last_spend=5090.518 | mean_spend=8329.627 | last_tiles=5.000 | last_armies=0.000 | pg=0.005 | vf=68.578 | ent=2.537 | kl=0.008 | clipfrac=0.081 | n=254 | bc_kl=0.202 | adv_mean=0.333 | adv_std=8.394
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=53 | env_steps=428131 | secs=11466.200 | episodes=212 | last_spend=7610.840 | mean_spend=8440.242 | last_tiles=17.000 | last_armies=2.000 | pg=0.011 | vf=382.727 | ent=2.311 | kl=0.019 | clipfrac=0.171 | n=206 | bc_kl=0.176 | adv_mean=4.053 | adv_std=19.290
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=54 | env_steps=436381 | secs=11682.100 | episodes=216 | last_spend=8334.344 | mean_spend=8813.329 | last_tiles=26.000 | last_armies=6.000 | pg=0.004 | vf=48.246 | ent=2.544 | kl=0.009 | clipfrac=0.093 | n=258 | bc_kl=0.241 | adv_mean=1.331 | adv_std=6.953
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=55 | env_steps=445795 | secs=11910.900 | episodes=220 | last_spend=8366.704 | mean_spend=8544.877 | last_tiles=23.000 | last_armies=4.000 | pg=0.007 | vf=91.271 | ent=2.803 | kl=0.014 | clipfrac=0.131 | n=295 | bc_kl=0.216 | adv_mean=-0.544 | adv_std=9.652
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=56 | env_steps=453629 | secs=12117.000 | episodes=224 | last_spend=10346.439 | mean_spend=8405.151 | last_tiles=26.000 | last_armies=2.000 | pg=0.001 | vf=18.502 | ent=2.485 | kl=0.006 | clipfrac=0.064 | n=245 | bc_kl=0.224 | adv_mean=1.857 | adv_std=4.020
