设备：cuda
★BC 锚开启：w=0.1  只锚 turn ≤ 70  权重来自 rl/runs/bc_ep400.pt（缺失 0 项）
（含优化器状态）
续训自 rl/runs/ppo_exec/model.pt（第 119 块）
（训练图种子接着数：0）
★地图池：802 张（难度已筛）  从第 476 张接着数
（含回报归一化状态）
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=159 | env_steps=348662 | secs=9379.000 | episodes=160 | last_spend=8471.746 | mean_spend=8388.182 | last_tiles=23.000 | last_armies=6.000 | pg=0.006 | vf=55.674 | ent=2.591 | kl=0.008 | clipfrac=0.092 | n=276 | bc_kl=0.250 | adv_mean=2.454 | adv_std=7.175
eval_spend=12269.516 | eval_tiles=9.500 | eval_armies=6.500 | eval_s_spend=16812.335 | eval_s_tiles=25.000 | iter=160 | env_steps=357396 | secs=9588.500 | episodes=164 | last_spend=8544.743 | mean_spend=8879.265 | last_tiles=19.000 | last_armies=2.000 | pg=0.009 | vf=29.431 | ent=2.562 | kl=0.013 | clipfrac=0.113 | n=273 | bc_kl=0.283 | adv_mean=-0.197 | adv_std=5.546
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=161 | env_steps=366097 | secs=10078.600 | episodes=168 | last_spend=10381.733 | mean_spend=8894.106 | last_tiles=25.000 | last_armies=3.000 | pg=0.004 | vf=13.006 | ent=2.687 | kl=0.010 | clipfrac=0.085 | n=272 | bc_kl=0.278 | adv_mean=-0.978 | adv_std=3.596
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=162 | env_steps=375120 | secs=10300.000 | episodes=172 | last_spend=11994.641 | mean_spend=9516.255 | last_tiles=21.000 | last_armies=3.000 | pg=0.009 | vf=34.537 | ent=2.639 | kl=0.012 | clipfrac=0.130 | n=282 | bc_kl=0.299 | adv_mean=0.364 | adv_std=5.994
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=163 | env_steps=384376 | secs=10519.900 | episodes=176 | last_spend=7877.142 | mean_spend=8642.914 | last_tiles=14.000 | last_armies=0.000 | pg=0.004 | vf=59.900 | ent=2.809 | kl=0.008 | clipfrac=0.082 | n=290 | bc_kl=0.302 | adv_mean=-2.177 | adv_std=7.548
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=164 | env_steps=395090 | secs=10779.300 | episodes=180 | last_spend=8364.619 | mean_spend=10617.584 | last_tiles=12.000 | last_armies=2.000 | pg=0.008 | vf=198.019 | ent=3.320 | kl=0.015 | clipfrac=0.155 | n=335 | bc_kl=0.264 | adv_mean=1.207 | adv_std=14.154
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=165 | env_steps=405662 | secs=11033.000 | episodes=184 | last_spend=12627.763 | mean_spend=10506.990 | last_tiles=27.000 | last_armies=3.000 | pg=0.003 | vf=98.930 | ent=3.217 | kl=0.009 | clipfrac=0.094 | n=331 | bc_kl=0.319 | adv_mean=-1.112 | adv_std=9.988
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=166 | env_steps=413686 | secs=11227.600 | episodes=188 | last_spend=8627.469 | mean_spend=8193.089 | last_tiles=23.000 | last_armies=5.000 | pg=0.006 | vf=22.442 | ent=2.595 | kl=0.010 | clipfrac=0.092 | n=251 | bc_kl=0.302 | adv_mean=-0.768 | adv_std=4.789
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=167 | env_steps=423162 | secs=11466.300 | episodes=192 | last_spend=15717.812 | mean_spend=12088.953 | last_tiles=25.000 | last_armies=8.000 | pg=0.012 | vf=188.679 | ent=3.015 | kl=0.014 | clipfrac=0.179 | n=297 | bc_kl=0.303 | adv_mean=9.320 | adv_std=10.229
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=168 | env_steps=430733 | secs=11645.800 | episodes=196 | last_spend=9906.545 | mean_spend=8654.020 | last_tiles=20.000 | last_armies=6.000 | pg=0.004 | vf=39.436 | ent=2.532 | kl=0.009 | clipfrac=0.081 | n=237 | bc_kl=0.295 | adv_mean=-2.253 | adv_std=6.013
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=169 | env_steps=439654 | secs=11868.900 | episodes=200 | last_spend=9352.208 | mean_spend=10074.070 | last_tiles=23.000 | last_armies=5.000 | pg=0.002 | vf=55.280 | ent=2.823 | kl=0.006 | clipfrac=0.081 | n=279 | bc_kl=0.266 | adv_mean=4.371 | adv_std=6.156
eval_spend=8120.371 | eval_tiles=7.000 | eval_armies=4.500 | eval_s_spend=13031.535 | eval_s_tiles=22.500 | iter=170 | env_steps=450398 | secs=12136.200 | episodes=204 | last_spend=11452.002 | mean_spend=10236.639 | last_tiles=23.000 | last_armies=3.000 | pg=0.010 | vf=72.761 | ent=3.346 | kl=0.013 | clipfrac=0.143 | n=336 | bc_kl=0.271 | adv_mean=-4.492 | adv_std=7.425
