eval_spend,eval_tiles,eval_armies,eval_s_spend,eval_s_tiles,iter,env_steps,secs,episodes,last_spend,mean_spend,last_tiles,last_armies,pg,vf,ent,kl,clipfrac,n,bc_kl,adv_mean,adv_std
nan,nan,nan,nan,nan,156,511579,13170.3,232,7519.846333333333,8478.071444444446,19.0,1.0,0.006,104.0329,3.5435,0.0104,0.0956,361,0.2266,-7.8084,6.8062
nan,nan,nan,nan,nan,157,520908,13396.2,236,9185.316333333334,8653.562444444446,12.0,0.0,0.0048,43.5447,3.1438,0.0084,0.0797,292,0.2648,3.9106,5.4935
nan,nan,nan,nan,nan,158,532057,13669.3,240,8350.544999999998,9972.339666666667,21.0,5.0,0.0053,78.4706,3.5276,0.0107,0.1063,349,0.243,-4.3194,7.9163
nan,nan,nan,nan,nan,159,544440,13980.9,244,6401.439333333334,8981.544777777779,14.0,5.0,0.0062,117.9911,3.8938,0.0123,0.114,387,0.2844,-0.7333,10.9896
9453.898833333333,8.5,6.5,11885.39416666667,21.5,160,554597,14230.2,248,7536.1686666666665,9023.73011111111,14.0,2.0,0.0087,193.033,3.2611,0.0132,0.1281,318,0.2414,0.3826,14.0222
nan,nan,nan,nan,nan,161,562973,14583.0,252,6864.547333333334,8528.778555555555,5.0,0.0,0.0033,81.7628,2.9719,0.0071,0.0643,262,0.2044,1.35,9.0718
nan,nan,nan,nan,nan,162,573176,14814.3,256,5744.027333333333,7676.168555555557,5.0,0.0,0.0087,60.6256,3.1827,0.0126,0.1337,319,0.1989,-5.3748,5.8256
nan,nan,nan,nan,nan,163,584324,15082.5,260,7503.535999999999,8367.836,15.0,2.0,0.0078,18.8576,3.5711,0.0126,0.1534,349,0.2691,-2.7029,3.5891
nan,nan,nan,nan,nan,164,592909,15282.7,264,7418.707333333334,7451.467444444445,25.0,2.0,0.0046,19.6404,3.2611,0.0163,0.1386,269,0.2669,-3.3222,3.1582
nan,nan,nan,nan,nan,165,600474,15455.9,268,7301.575666666666,7200.31211111111,5.0,0.0,0.0062,53.3596,2.8582,0.0091,0.0992,237,0.2578,0.2229,7.4424
